,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-07-14,,45,0.0,-,0.0,0.0
1,2020-07-15,,350,,▲,1.0,
2,2020-07-16,,252,,▲,2.0,
3,2020-07-17,,179,,▲,3.0,
4,2020-07-18,115.0,177,,▲,4.0,
5,2020-07-19,103.4,168,-11.6,▼,3.0,-10.1
6,2020-07-20,94.7,127,-8.7,▼,2.0,-8.4
7,2020-07-21,91.0,130,-3.7,▼,1.0,-3.9
8,2020-07-22,87.2,117,-3.8,▼,0.0,-4.2
9,2020-07-23,84.2,91,-3.0,▼,-1.0,-3.4
10,2020-07-24,80.8,109,-3.4,▼,-2.0,-4.0
11,2020-07-25,78.8,104,-2.0,▼,-3.0,-2.5
12,2020-07-26,77.7,81,-1.1,▼,-4.0,-1.4
13,2020-07-27,77.1,76,-0.6,▼,-5.0,-0.8
14,2020-07-28,75.0,75,-2.1,▼,-6.0,-2.7
15,2020-07-29,73.9,95,-1.1,▼,-7.0,-1.5
16,2020-07-30,72.6,90,-1.3,▼,-8.0,-1.8
17,2020-07-31,70.8,85,-1.8,▼,-9.0,-2.5
18,2020-08-01,69.6,105,-1.2,▼,-10.0,-1.7
19,2020-08-02,75.0,97,5.4,▲,-9.0,7.8
20,2020-08-03,77.1,125,2.1,▲,-8.0,2.8
21,2020-08-04,79.0,96,1.9,▲,-7.0,2.5
22,2020-08-05,79.6,78,0.6,▲,-6.0,0.8
23,2020-08-06,79.6,76,0.0,-,-6.0,0.0
24,2020-08-07,73.2,98,-6.4,▼,-7.0,-8.0
25,2020-08-08,70.2,79,-3.0,▼,-8.0,-4.1
26,2020-08-09,66.7,75,-3.5,▼,-9.0,-5.0
27,2020-08-10,64.1,77,-2.6,▼,-10.0,-3.9
28,2020-08-11,61.3,68,-2.8,▼,-11.0,-4.4
29,2020-08-12,58.8,55,-2.5,▼,-12.0,-4.1
30,2020-08-13,56.3,70,-2.5,▼,-13.0,-4.3
31,2020-08-14,53.9,66,-2.4,▼,-14.0,-4.3
32,2020-08-15,51.8,101,-2.1,▼,-15.0,-3.9
33,2020-08-16,51.3,72,-0.5,▼,-16.0,-1.0
34,2020-08-17,51.5,70,0.2,▲,-15.0,0.4
35,2020-08-18,51.0,65,-0.5,▼,-16.0,-1.0
36,2020-08-19,51.5,54,0.5,▲,-15.0,1.0
37,2020-08-20,51.0,58,-0.5,▼,-16.0,-1.0
38,2020-08-21,49.5,67,-1.5,▼,-17.0,-2.9
39,2020-08-22,48.5,60,-1.0,▼,-18.0,-2.0
40,2020-08-23,48.2,55,-0.3,▼,-19.0,-0.6
41,2020-08-24,47.2,68,-1.0,▼,-20.0,-2.1
42,2020-08-25,46.7,63,-0.5,▼,-21.0,-1.1
43,2020-08-26,48.1,51,1.4,▲,-20.0,3.0
44,2020-08-27,49.4,56,1.3,▲,-19.0,2.7
45,2020-08-28,50.8,54,1.4,▲,-18.0,2.8
46,2020-08-29,53.2,70,2.4,▲,-17.0,4.7
47,2020-08-30,55.9,63,2.7,▲,-16.0,5.1
48,2020-08-31,57.3,66,1.4,▲,-15.0,2.5
49,2020-09-01,58.3,34,1.0,▲,-14.0,1.7
50,2020-09-02,59.2,39,0.9,▲,-13.0,1.5
51,2020-09-03,59.3,53,0.1,▲,-12.0,0.2
52,2020-09-04,59.7,40,0.4,▲,-11.0,0.7
53,2020-09-05,59.9,48,0.2,▲,-10.0,0.3
54,2020-09-06,59.4,61,-0.5,▼,-11.0,-0.8
55,2020-09-07,58.4,52,-1.0,▼,-12.0,-1.7
56,2020-09-08,57.3,41,-1.1,▼,-13.0,-1.9
57,2020-09-09,55.4,54,-1.9,▼,-14.0,-3.3
58,2020-09-10,52.4,45,-3.0,▼,-15.0,-5.4
59,2020-09-11,49.4,37,-3.0,▼,-16.0,-5.7
60,2020-09-12,46.4,62,-3.0,▼,-17.0,-6.1
61,2020-09-13,43.5,56,-2.9,▼,-18.0,-6.2
62,2020-09-14,41.5,46,-2.0,▼,-19.0,-4.6
63,2020-09-15,40.5,42,-1.0,▼,-20.0,-2.4
64,2020-09-16,39.8,28,-0.7,▼,-21.0,-1.7
65,2020-09-17,39.8,23,0.0,-,-21.0,0.0
66,2020-09-18,39.6,25,-0.2,▼,-22.0,-0.5
67,2020-09-19,39.6,45,0.0,-,-22.0,0.0
68,2020-09-20,39.5,36,-0.1,▼,-23.0,-0.3
69,2020-09-21,39.3,37,-0.2,▼,-24.0,-0.5
70,2020-09-22,38.8,30,-0.5,▼,-25.0,-1.3
71,2020-09-23,38.5,32,-0.3,▼,-26.0,-0.8
72,2020-09-24,38.5,50,0.0,-,-26.0,0.0
73,2020-09-25,38.1,34,-0.4,▼,-27.0,-1.0
74,2020-09-26,37.3,51,-0.8,▼,-28.0,-2.1
