,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-12-16,,46,0.0,-,0.0,0.0,0.0,0.0
1,2021-12-17,,180,,▲,1.0,,134.0,180.0
2,2021-12-18,,203,,▲,2.0,,23.0,383.0
3,2021-12-19,,175,,▲,3.0,,-28.0,558.0
4,2021-12-20,170.2,156,,▲,4.0,,-19.0,714.0
5,2021-12-21,141.3,149,-28.9,▼,3.0,-17.0,-7.0,863.0
6,2021-12-22,124.3,121,-17.0,▼,2.0,-12.0,-28.0,984.0
7,2021-12-23,115.1,120,-9.2,▼,1.0,-7.4,-1.0,1104.0
8,2021-12-24,109.8,101,-5.3,▼,0.0,-4.6,-19.0,1205.0
9,2021-12-25,108.2,123,-1.6,▼,-1.0,-1.5,22.0,1328.0
10,2021-12-26,105.3,164,-2.9,▼,-2.0,-2.7,41.0,1492.0
11,2021-12-27,102.3,132,-3.0,▼,-3.0,-2.8,-32.0,1624.0
12,2021-12-28,99.7,111,-2.6,▼,-4.0,-2.5,-21.0,1735.0
13,2021-12-29,97.6,104,-2.1,▼,-5.0,-2.1,-7.0,1839.0
14,2021-12-30,94.2,123,-3.4,▼,-6.0,-3.5,19.0,1962.0
15,2021-12-31,92.1,116,-2.1,▼,-7.0,-2.2,-7.0,2078.0
16,2022-01-01,90.8,94,-1.3,▼,-8.0,-1.4,-22.0,2172.0
17,2022-01-02,90.2,89,-0.6,▼,-9.0,-0.7,-5.0,2261.0
18,2022-01-03,87.8,93,-2.4,▼,-10.0,-2.7,4.0,2354.0
19,2022-01-04,87.8,106,0.0,-,-10.0,0.0,13.0,2460.0
20,2022-01-05,85.9,64,-1.9,▼,-11.0,-2.2,-42.0,2524.0
21,2022-01-06,83.2,90,-2.7,▼,-12.0,-3.1,26.0,2614.0
22,2022-01-07,81.3,102,-1.9,▼,-13.0,-2.3,12.0,2716.0
23,2022-01-08,80.8,87,-0.5,▼,-14.0,-0.6,-15.0,2803.0
24,2022-01-09,78.3,103,-2.5,▼,-15.0,-3.1,16.0,2906.0
25,2022-01-10,77.2,92,-1.1,▼,-16.0,-1.4,-11.0,2998.0
26,2022-01-11,75.9,50,-1.3,▼,-17.0,-1.7,-42.0,3048.0
