,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-09-08,,62,0.0,-,0.0,0.0,0.0,0.0
1,2021-09-09,,186,,▲,1.0,,124.0,186.0
2,2021-09-10,,199,,▲,2.0,,13.0,385.0
3,2021-09-11,,113,,▲,3.0,,-86.0,498.0
4,2021-09-12,135.4,148,,▲,4.0,,35.0,646.0
5,2021-09-13,118.7,102,-16.7,▼,3.0,-12.3,-46.0,748.0
6,2021-09-14,107.8,90,-10.9,▼,2.0,-9.2,-12.0,838.0
7,2021-09-15,101.7,88,-6.1,▼,1.0,-5.7,-2.0,926.0
8,2021-09-16,95.4,82,-6.3,▼,0.0,-6.2,-6.0,1008.0
9,2021-09-17,89.9,87,-5.5,▼,-1.0,-5.8,5.0,1095.0
10,2021-09-18,86.6,86,-3.3,▼,-2.0,-3.7,-1.0,1181.0
11,2021-09-19,84.3,88,-2.3,▼,-3.0,-2.7,2.0,1269.0
12,2021-09-20,83.0,51,-1.3,▼,-4.0,-1.5,-37.0,1320.0
13,2021-09-21,80.3,81,-2.7,▼,-5.0,-3.3,30.0,1401.0
14,2021-09-22,78.2,76,-2.1,▼,-6.0,-2.6,-5.0,1477.0
15,2021-09-23,76.0,68,-2.2,▼,-7.0,-2.8,-8.0,1545.0
16,2021-09-24,73.0,72,-3.0,▼,-8.0,-3.9,4.0,1617.0
17,2021-09-25,72.3,89,-0.7,▼,-9.0,-1.0,17.0,1706.0
18,2021-09-26,72.4,84,0.1,▲,-8.0,0.1,-5.0,1790.0
19,2021-09-27,72.4,52,0.0,-,-8.0,0.0,-32.0,1842.0
