,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-01-13,24.4,53,0.0,-,0.0,0.0
1,2020-01-14,24.4,50,0.0,-,0.0,0.0
2,2020-01-15,23.9,52,-0.5,▼,-1.0,-2.0
3,2020-01-16,24.0,56,0.1,▲,0.0,0.4
4,2020-01-17,24.2,56,0.2,▲,1.0,0.8
5,2020-01-18,24.5,58,0.3,▲,2.0,1.2
6,2020-01-19,25.0,69,0.5,▲,3.0,2.0
7,2020-01-20,26.2,33,1.2,▲,4.0,4.8
8,2020-01-21,26.7,46,0.5,▲,5.0,1.9
9,2020-01-22,27.2,52,0.5,▲,6.0,1.9
10,2020-01-23,27.1,53,-0.1,▼,5.0,-0.4
11,2020-01-24,27.1,35,0.0,-,5.0,0.0
12,2020-01-25,27.1,33,0.0,-,5.0,0.0
13,2020-01-26,26.9,37,-0.2,▼,4.0,-0.7
14,2020-01-27,28.0,51,1.1,▲,5.0,4.1
15,2020-01-28,29.1,33,1.1,▲,6.0,3.9
16,2020-01-29,29.6,43,0.5,▲,7.0,1.7
17,2020-01-30,29.4,45,-0.2,▼,6.0,-0.7
18,2020-01-31,29.0,43,-0.4,▼,5.0,-1.4
19,2020-02-01,27.5,51,-1.5,▼,4.0,-5.2
20,2020-02-02,26.5,65,-1.0,▼,3.0,-3.6
21,2020-02-03,25.9,55,-0.6,▼,2.0,-2.3
22,2020-02-04,26.1,29,0.2,▲,3.0,0.8
23,2020-02-05,26.4,44,0.3,▲,4.0,1.1
24,2020-02-06,26.4,45,0.0,-,4.0,0.0
25,2020-02-07,26.4,38,0.0,-,4.0,0.0
26,2020-02-08,26.2,51,-0.2,▼,3.0,-0.8
27,2020-02-09,25.4,48,-0.8,▼,2.0,-3.1
28,2020-02-10,25.1,44,-0.3,▼,1.0,-1.2
29,2020-02-11,25.4,37,0.3,▲,2.0,1.2
30,2020-02-12,25.8,38,0.4,▲,3.0,1.6
31,2020-02-13,25.9,40,0.1,▲,4.0,0.4
32,2020-02-14,26.8,80,0.9,▲,5.0,3.5
33,2020-02-15,27.7,75,0.9,▲,6.0,3.4
34,2020-02-16,28.2,77,0.5,▲,7.0,1.8
35,2020-02-17,28.6,31,0.4,▲,8.0,1.4
36,2020-02-18,29.1,41,0.5,▲,9.0,1.7
37,2020-02-19,29.1,25,0.0,-,9.0,0.0
38,2020-02-20,28.9,34,-0.2,▼,8.0,-0.7
39,2020-02-21,29.1,31,0.2,▲,9.0,0.7
