,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,33.7,9,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,33.7,7,0.0,-,0.0,0.0,-2.0,7.0
2,2020-01-15,33.7,10,0.0,-,0.0,0.0,3.0,17.0
3,2020-01-16,33.7,11,0.0,-,0.0,0.0,1.0,28.0
4,2020-01-17,34.0,8,0.3,▲,1.0,0.9,-3.0,36.0
5,2020-01-18,32.0,7,-2.0,▼,0.0,-5.9,-1.0,43.0
6,2020-01-19,32.6,10,0.6,▲,1.0,1.9,3.0,53.0
7,2020-01-20,32.3,3,-0.3,▼,0.0,-0.9,-7.0,56.0
8,2020-01-21,32.3,14,0.0,-,0.0,0.0,11.0,70.0
9,2020-01-22,32.0,14,-0.3,▼,-1.0,-0.9,0.0,84.0
10,2020-01-23,33.4,15,1.4,▲,0.0,4.4,1.0,99.0
11,2020-01-24,33.8,14,0.4,▲,1.0,1.2,-1.0,113.0
12,2020-01-25,35.2,13,1.4,▲,2.0,4.1,-1.0,126.0
13,2020-01-26,35.7,7,0.5,▲,3.0,1.4,-6.0,133.0
14,2020-01-27,37.2,15,1.5,▲,4.0,4.2,8.0,148.0
15,2020-01-28,37.8,11,0.6,▲,5.0,1.6,-4.0,159.0
16,2020-01-29,38.9,9,1.1,▲,6.0,2.9,-2.0,168.0
17,2020-01-30,39.0,6,0.1,▲,7.0,0.3,-3.0,174.0
18,2020-01-31,39.9,7,0.9,▲,8.0,2.3,1.0,181.0
19,2020-02-01,39.9,18,0.0,-,8.0,0.0,11.0,199.0
20,2020-02-02,39.8,7,-0.1,▼,7.0,-0.3,-11.0,206.0
21,2020-02-03,39.2,9,-0.6,▼,6.0,-1.5,2.0,215.0
22,2020-02-04,39.6,5,0.4,▲,7.0,1.0,-4.0,220.0
23,2020-02-05,39.5,7,-0.1,▼,6.0,-0.3,2.0,227.0
24,2020-02-06,39.0,7,-0.5,▼,5.0,-1.3,0.0,234.0
25,2020-02-07,38.9,5,-0.1,▼,4.0,-0.3,-2.0,239.0
26,2020-02-08,37.9,8,-1.0,▼,3.0,-2.6,3.0,247.0
27,2020-02-09,35.4,5,-2.5,▼,2.0,-6.6,-3.0,252.0
28,2020-02-10,34.1,4,-1.3,▼,1.0,-3.7,-1.0,256.0
29,2020-02-11,34.6,7,0.5,▲,2.0,1.5,3.0,263.0
30,2020-02-12,34.4,4,-0.2,▼,1.0,-0.6,-3.0,267.0
31,2020-02-13,33.5,7,-0.9,▼,0.0,-2.6,3.0,274.0
32,2020-02-14,34.6,6,1.1,▲,1.0,3.3,-1.0,280.0
33,2020-02-15,34.7,20,0.1,▲,2.0,0.3,14.0,300.0
34,2020-02-16,34.2,19,-0.5,▼,1.0,-1.4,-1.0,319.0
35,2020-02-17,34.0,19,-0.2,▼,0.0,-0.6,0.0,338.0
36,2020-02-18,36.0,14,2.0,▲,1.0,5.9,-5.0,352.0
37,2020-02-19,36.5,10,0.5,▲,2.0,1.4,-4.0,362.0
38,2020-02-20,37.0,14,0.5,▲,3.0,1.4,4.0,376.0
39,2020-02-21,38.8,5,1.8,▲,4.0,4.9,-9.0,381.0
40,2020-02-22,38.9,14,0.1,▲,5.0,0.3,9.0,395.0
41,2020-02-23,38.7,5,-0.2,▼,4.0,-0.5,-9.0,400.0
42,2020-02-24,39.2,11,0.5,▲,5.0,1.3,6.0,411.0
43,2020-02-25,39.8,12,0.6,▲,6.0,1.5,1.0,423.0
44,2020-02-26,39.0,8,-0.8,▼,5.0,-2.0,-4.0,431.0
45,2020-02-27,39.0,6,0.0,-,5.0,0.0,-2.0,437.0
46,2020-02-28,38.7,12,-0.3,▼,4.0,-0.8,6.0,449.0
47,2020-02-29,37.7,9,-1.0,▼,3.0,-2.6,-3.0,458.0
48,2020-03-01,37.9,7,0.2,▲,4.0,0.5,-2.0,465.0
49,2020-03-02,37.9,6,0.0,-,4.0,0.0,-1.0,471.0
50,2020-03-03,38.3,11,0.4,▲,5.0,1.1,5.0,482.0
51,2020-03-04,38.3,7,0.0,-,5.0,0.0,-4.0,489.0
52,2020-03-05,39.1,8,0.8,▲,6.0,2.1,1.0,497.0
53,2020-03-06,38.9,12,-0.2,▼,5.0,-0.5,4.0,509.0
54,2020-03-07,39.4,15,0.5,▲,6.0,1.3,3.0,524.0
