,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-02-11,109.5,24,0.0,-,0.0,0.0,0.0,0.0
1,2020-02-12,113.5,33,4.0,▲,1.0,3.7,9.0,33.0
2,2020-02-13,123.4,20,9.9,▲,2.0,8.7,-13.0,53.0
3,2020-02-14,126.9,21,3.5,▲,3.0,2.8,1.0,74.0
4,2020-02-15,131.8,34,4.9,▲,4.0,3.9,13.0,108.0
5,2020-02-16,135.2,47,3.4,▲,5.0,2.6,13.0,155.0
6,2020-02-17,139.2,35,4.0,▲,6.0,3.0,-12.0,190.0
7,2020-02-18,137.3,30,-1.9,▼,5.0,-1.4,-5.0,220.0
8,2020-02-19,139.2,22,1.9,▲,6.0,1.4,-8.0,242.0
9,2020-02-20,139.3,28,0.1,▲,7.0,0.1,6.0,270.0
10,2020-02-21,138.9,33,-0.4,▼,6.0,-0.3,5.0,303.0
11,2020-02-22,139.9,28,1.0,▲,7.0,0.7,-5.0,331.0
12,2020-02-23,139.9,34,0.0,-,7.0,0.0,6.0,365.0
13,2020-02-24,140.0,28,0.1,▲,8.0,0.1,-6.0,393.0
14,2020-02-25,139.9,21,-0.1,▼,7.0,-0.1,-7.0,414.0
15,2020-02-26,140.9,33,1.0,▲,8.0,0.7,12.0,447.0
16,2020-02-27,137.9,32,-3.0,▼,7.0,-2.1,-1.0,479.0
17,2020-02-28,135.9,26,-2.0,▼,6.0,-1.5,-6.0,505.0
18,2020-02-29,132.4,58,-3.5,▼,5.0,-2.6,32.0,563.0
19,2020-03-01,129.1,44,-3.3,▼,4.0,-2.5,-14.0,607.0
20,2020-03-02,127.1,31,-2.0,▼,3.0,-1.5,-13.0,638.0
21,2020-03-03,127.6,34,0.5,▲,4.0,0.4,3.0,672.0
22,2020-03-04,127.9,30,0.3,▲,5.0,0.2,-4.0,702.0
23,2020-03-05,129.4,64,1.5,▲,6.0,1.2,34.0,766.0
24,2020-03-06,134.8,130,5.4,▲,7.0,4.2,66.0,896.0
25,2020-03-07,148.3,98,13.5,▲,8.0,10.0,-32.0,994.0
26,2020-03-08,156.8,81,8.5,▲,9.0,5.7,-17.0,1075.0
27,2020-03-09,164.4,71,7.6,▲,10.0,4.8,-10.0,1146.0
28,2020-03-10,171.4,61,7.0,▲,11.0,4.3,-10.0,1207.0
29,2020-03-11,172.8,61,1.4,▲,12.0,0.8,0.0,1268.0
30,2020-03-12,161.3,90,-11.5,▼,11.0,-6.7,29.0,1358.0
31,2020-03-13,153.7,85,-7.6,▼,10.0,-4.7,-5.0,1443.0
32,2020-03-14,146.8,80,-6.9,▼,9.0,-4.5,-5.0,1523.0
33,2020-03-15,140.6,75,-6.2,▼,8.0,-4.2,-5.0,1598.0
34,2020-03-16,136.6,58,-4.0,▼,7.0,-2.8,-17.0,1656.0
35,2020-03-17,135.6,68,-1.0,▼,6.0,-0.7,10.0,1724.0
36,2020-03-18,132.7,93,-2.9,▼,5.0,-2.1,25.0,1817.0
37,2020-03-19,131.1,71,-1.6,▼,4.0,-1.2,-22.0,1888.0
38,2020-03-20,128.1,66,-3.0,▼,3.0,-2.3,-5.0,1954.0
39,2020-03-21,125.0,108,-3.1,▼,2.0,-2.4,42.0,2062.0
40,2020-03-22,121.8,92,-3.2,▼,1.0,-2.6,-16.0,2154.0
41,2020-03-23,119.2,87,-2.6,▼,0.0,-2.1,-5.0,2241.0
42,2020-03-24,115.3,164,-3.9,▼,-1.0,-3.3,77.0,2405.0
43,2020-03-25,110.5,151,-4.8,▼,-2.0,-4.2,-13.0,2556.0
44,2020-03-26,102.2,154,-8.3,▼,-3.0,-7.5,3.0,2710.0
45,2020-03-27,92.7,120,-9.5,▼,-4.0,-9.3,-34.0,2830.0
