,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-01-13,21.0,13,0.0,-,0.0,0.0,0.0,0.0
1,2020-01-14,20.2,26,-0.8,▼,-1.0,-3.8,13.0,26.0
2,2020-01-15,20.3,16,0.1,▲,0.0,0.5,-10.0,42.0
3,2020-01-16,20.0,9,-0.3,▼,-1.0,-1.5,-7.0,51.0
4,2020-01-17,20.1,13,0.1,▲,0.0,0.5,4.0,64.0
5,2020-01-18,20.3,20,0.2,▲,1.0,1.0,7.0,84.0
6,2020-01-19,20.2,10,-0.1,▼,0.0,-0.5,-10.0,94.0
7,2020-01-20,20.3,14,0.1,▲,1.0,0.5,4.0,108.0
8,2020-01-21,20.4,21,0.1,▲,2.0,0.5,7.0,129.0
9,2020-01-22,21.2,4,0.8,▲,3.0,3.9,-17.0,133.0
10,2020-01-23,21.0,8,-0.2,▼,2.0,-0.9,4.0,141.0
11,2020-01-24,21.1,10,0.1,▲,3.0,0.5,2.0,151.0
12,2020-01-25,21.0,16,-0.1,▼,2.0,-0.5,6.0,167.0
13,2020-01-26,20.8,15,-0.2,▼,1.0,-1.0,-1.0,182.0
14,2020-01-27,21.4,21,0.6,▲,2.0,2.9,6.0,203.0
15,2020-01-28,21.4,14,0.0,-,2.0,0.0,-7.0,217.0
16,2020-01-29,21.9,21,0.5,▲,3.0,2.3,7.0,238.0
17,2020-01-30,22.1,7,0.2,▲,4.0,0.9,-14.0,245.0
18,2020-01-31,22.6,25,0.5,▲,5.0,2.3,18.0,270.0
19,2020-02-01,21.5,33,-1.1,▼,4.0,-4.9,8.0,303.0
20,2020-02-02,21.8,20,0.3,▲,5.0,1.4,-13.0,323.0
21,2020-02-03,21.8,18,0.0,-,5.0,0.0,-2.0,341.0
22,2020-02-04,21.7,12,-0.1,▼,4.0,-0.5,-6.0,353.0
23,2020-02-05,21.7,17,0.0,-,4.0,0.0,5.0,370.0
24,2020-02-06,21.2,11,-0.5,▼,3.0,-2.3,-6.0,381.0
25,2020-02-07,21.4,20,0.2,▲,4.0,0.9,9.0,401.0
26,2020-02-08,21.9,18,0.5,▲,5.0,2.3,-2.0,419.0
27,2020-02-09,21.8,14,-0.1,▼,4.0,-0.5,-4.0,433.0
28,2020-02-10,21.9,26,0.1,▲,5.0,0.5,12.0,459.0
29,2020-02-11,22.1,14,0.2,▲,6.0,0.9,-12.0,473.0
30,2020-02-12,21.6,16,-0.5,▼,5.0,-2.3,2.0,489.0
31,2020-02-13,22.7,18,1.1,▲,6.0,5.1,2.0,507.0
32,2020-02-14,23.0,47,0.3,▲,7.0,1.3,29.0,554.0
33,2020-02-15,23.0,60,0.0,-,7.0,0.0,13.0,614.0
34,2020-02-16,24.9,47,1.9,▲,8.0,8.3,-13.0,661.0
35,2020-02-17,25.7,14,0.8,▲,9.0,3.2,-33.0,675.0
36,2020-02-18,25.1,18,-0.6,▼,8.0,-2.3,4.0,693.0
37,2020-02-19,26.2,19,1.1,▲,9.0,4.4,1.0,712.0
38,2020-02-20,26.7,18,0.5,▲,10.0,1.9,-1.0,730.0
39,2020-02-21,26.2,21,-0.5,▼,9.0,-1.9,3.0,751.0
40,2020-02-22,26.9,26,0.7,▲,10.0,2.7,5.0,777.0
41,2020-02-23,26.5,17,-0.4,▼,9.0,-1.5,-9.0,794.0
42,2020-02-24,26.6,12,0.1,▲,10.0,0.4,-5.0,806.0
43,2020-02-25,26.4,12,-0.2,▼,9.0,-0.8,0.0,818.0
44,2020-02-26,25.3,15,-1.1,▼,8.0,-4.2,3.0,833.0
45,2020-02-27,23.8,13,-1.5,▼,7.0,-5.9,-2.0,846.0
46,2020-02-28,22.6,12,-1.2,▼,6.0,-5.0,-1.0,858.0
47,2020-02-29,21.9,19,-0.7,▼,5.0,-3.1,7.0,877.0
48,2020-03-01,21.6,28,-0.3,▼,4.0,-1.4,9.0,905.0
49,2020-03-02,22.6,12,1.0,▲,5.0,4.6,-16.0,917.0
50,2020-03-03,23.8,10,1.2,▲,6.0,5.3,-2.0,927.0
51,2020-03-04,24.7,22,0.9,▲,7.0,3.8,12.0,949.0
52,2020-03-05,24.5,8,-0.2,▼,6.0,-0.8,-14.0,957.0
53,2020-03-06,25.0,31,0.5,▲,7.0,2.0,23.0,988.0
54,2020-03-07,24.4,41,-0.6,▼,6.0,-2.4,10.0,1029.0
55,2020-03-08,24.2,28,-0.2,▼,5.0,-0.8,-13.0,1057.0
56,2020-03-09,24.2,10,0.0,-,5.0,0.0,-18.0,1067.0
57,2020-03-10,24.6,19,0.4,▲,6.0,1.7,9.0,1086.0
58,2020-03-11,24.7,14,0.1,▲,7.0,0.4,-5.0,1100.0
59,2020-03-12,24.9,18,0.2,▲,8.0,0.8,4.0,1118.0
60,2020-03-13,24.6,15,-0.3,▼,7.0,-1.2,-3.0,1133.0
61,2020-03-14,24.8,15,0.2,▲,8.0,0.8,0.0,1148.0
62,2020-03-15,24.9,18,0.1,▲,9.0,0.4,3.0,1166.0
63,2020-03-16,24.1,17,-0.8,▼,8.0,-3.2,-1.0,1183.0
64,2020-03-17,23.5,27,-0.6,▼,7.0,-2.5,10.0,1210.0
65,2020-03-18,23.5,14,0.0,-,7.0,0.0,-13.0,1224.0
66,2020-03-19,23.0,28,-0.5,▼,6.0,-2.1,14.0,1252.0
67,2020-03-20,22.3,21,-0.7,▼,5.0,-3.0,-7.0,1273.0
68,2020-03-21,22.1,15,-0.2,▼,4.0,-0.9,-6.0,1288.0
69,2020-03-22,22.2,27,0.1,▲,5.0,0.5,12.0,1315.0
70,2020-03-23,21.8,21,-0.4,▼,4.0,-1.8,-6.0,1336.0
71,2020-03-24,21.2,7,-0.6,▼,3.0,-2.8,-14.0,1343.0
72,2020-03-25,20.8,9,-0.4,▼,2.0,-1.9,2.0,1352.0
73,2020-03-26,22.7,27,1.9,▲,3.0,9.1,18.0,1379.0
74,2020-03-27,22.0,20,-0.7,▼,2.0,-3.1,-7.0,1399.0
75,2020-03-28,21.5,31,-0.5,▼,1.0,-2.3,11.0,1430.0
76,2020-03-29,21.4,25,-0.1,▼,0.0,-0.5,-6.0,1455.0
77,2020-03-30,21.7,26,0.3,▲,1.0,1.4,1.0,1481.0
78,2020-03-31,19.8,14,-1.9,▼,0.0,-8.8,-12.0,1495.0
79,2020-04-01,19.8,19,0.0,-,0.0,0.0,5.0,1514.0
80,2020-04-02,19.3,24,-0.5,▼,-1.0,-2.5,5.0,1538.0
81,2020-04-03,18.8,26,-0.5,▼,-2.0,-2.6,2.0,1564.0
82,2020-04-04,17.9,31,-0.9,▼,-3.0,-4.8,5.0,1595.0
83,2020-04-05,17.1,25,-0.8,▼,-4.0,-4.5,-6.0,1620.0
84,2020-04-06,16.5,21,-0.6,▼,-5.0,-3.5,-4.0,1641.0
85,2020-04-07,16.5,19,0.0,-,-5.0,0.0,-2.0,1660.0
86,2020-04-08,16.1,24,-0.4,▼,-6.0,-2.4,5.0,1684.0
87,2020-04-09,15.7,22,-0.4,▼,-7.0,-2.5,-2.0,1706.0
88,2020-04-10,15.4,35,-0.3,▼,-8.0,-1.9,13.0,1741.0
89,2020-04-11,15.2,33,-0.2,▼,-9.0,-1.3,-2.0,1774.0
90,2020-04-12,14.9,49,-0.3,▼,-10.0,-2.0,16.0,1823.0
91,2020-04-13,16.0,38,1.1,▲,-9.0,7.4,-11.0,1861.0
92,2020-04-14,16.1,13,0.1,▲,-8.0,0.6,-25.0,1874.0
93,2020-04-15,16.2,19,0.1,▲,-7.0,0.6,6.0,1893.0
94,2020-04-16,16.1,14,-0.1,▼,-8.0,-0.6,-5.0,1907.0
95,2020-04-17,15.9,25,-0.2,▼,-9.0,-1.2,11.0,1932.0
96,2020-04-18,14.8,24,-1.1,▼,-10.0,-6.9,-1.0,1956.0
97,2020-04-19,14.6,31,-0.2,▼,-11.0,-1.4,7.0,1987.0
98,2020-04-20,14.2,21,-0.4,▼,-12.0,-2.7,-10.0,2008.0
99,2020-04-21,13.7,26,-0.5,▼,-13.0,-3.5,5.0,2034.0
100,2020-04-22,13.8,24,0.1,▲,-12.0,0.7,-2.0,2058.0
101,2020-04-23,13.4,22,-0.4,▼,-13.0,-2.9,-2.0,2080.0
102,2020-04-24,13.2,46,-0.2,▼,-14.0,-1.5,24.0,2126.0
103,2020-04-25,13.5,35,0.3,▲,-13.0,2.3,-11.0,2161.0
104,2020-04-26,13.9,25,0.4,▲,-12.0,3.0,-10.0,2186.0
105,2020-04-27,13.7,15,-0.2,▼,-13.0,-1.4,-10.0,2201.0
106,2020-04-28,14.1,18,0.4,▲,-12.0,2.9,3.0,2219.0
107,2020-04-29,14.4,28,0.3,▲,-11.0,2.1,10.0,2247.0
108,2020-04-30,14.1,21,-0.3,▼,-12.0,-2.1,-7.0,2268.0
109,2020-05-01,14.3,19,0.2,▲,-11.0,1.4,-2.0,2287.0
110,2020-05-02,14.0,31,-0.3,▼,-12.0,-2.1,12.0,2318.0
111,2020-05-03,13.7,33,-0.3,▼,-13.0,-2.1,2.0,2351.0
112,2020-05-04,12.9,20,-0.8,▼,-14.0,-5.8,-13.0,2371.0
113,2020-05-05,12.9,18,0.0,-,-14.0,0.0,-2.0,2389.0
114,2020-05-06,12.6,17,-0.3,▼,-15.0,-2.3,-1.0,2406.0
115,2020-05-07,12.7,31,0.1,▲,-14.0,0.8,14.0,2437.0
116,2020-05-08,12.7,39,0.0,-,-14.0,0.0,8.0,2476.0
117,2020-05-09,13.2,39,0.5,▲,-13.0,3.9,0.0,2515.0
118,2020-05-10,13.5,45,0.3,▲,-12.0,2.3,6.0,2560.0
119,2020-05-11,13.3,30,-0.2,▼,-13.0,-1.5,-15.0,2590.0
120,2020-05-12,13.3,26,0.0,-,-13.0,0.0,-4.0,2616.0
121,2020-05-13,13.4,28,0.1,▲,-12.0,0.8,2.0,2644.0
122,2020-05-14,14.7,33,1.3,▲,-11.0,9.7,5.0,2677.0
123,2020-05-15,14.4,29,-0.3,▼,-12.0,-2.0,-4.0,2706.0
124,2020-05-16,14.4,55,0.0,-,-12.0,0.0,26.0,2761.0
125,2020-05-17,14.7,26,0.3,▲,-11.0,2.1,-29.0,2787.0
126,2020-05-18,15.0,32,0.3,▲,-10.0,2.0,6.0,2819.0
127,2020-05-19,13.7,31,-1.3,▼,-11.0,-8.7,-1.0,2850.0
128,2020-05-20,14.0,59,0.3,▲,-10.0,2.2,28.0,2909.0
129,2020-05-21,14.3,25,0.3,▲,-9.0,2.1,-34.0,2934.0
130,2020-05-22,14.3,32,0.0,-,-9.0,0.0,7.0,2966.0
131,2020-05-23,15.4,51,1.1,▲,-8.0,7.7,19.0,3017.0
132,2020-05-24,15.7,28,0.3,▲,-7.0,1.9,-23.0,3045.0
133,2020-05-25,15.6,23,-0.1,▼,-8.0,-0.6,-5.0,3068.0
134,2020-05-26,15.6,19,0.0,-,-8.0,0.0,-4.0,3087.0
135,2020-05-27,15.6,22,0.0,-,-8.0,0.0,3.0,3109.0
136,2020-05-28,14.3,15,-1.3,▼,-9.0,-8.3,-7.0,3124.0
137,2020-05-29,13.8,33,-0.5,▼,-10.0,-3.5,18.0,3157.0
138,2020-05-30,14.0,15,0.2,▲,-9.0,1.4,-18.0,3172.0
139,2020-05-31,13.9,13,-0.1,▼,-10.0,-0.7,-2.0,3185.0
140,2020-06-01,14.0,18,0.1,▲,-9.0,0.7,5.0,3203.0
141,2020-06-02,15.2,35,1.2,▲,-8.0,8.6,17.0,3238.0
142,2020-06-03,15.7,23,0.5,▲,-7.0,3.3,-12.0,3261.0
143,2020-06-04,15.9,31,0.2,▲,-6.0,1.3,8.0,3292.0
144,2020-06-05,16.2,54,0.3,▲,-5.0,1.9,23.0,3346.0
145,2020-06-06,16.3,33,0.1,▲,-4.0,0.6,-21.0,3379.0
146,2020-06-07,15.3,31,-1.0,▼,-5.0,-6.1,-2.0,3410.0
147,2020-06-08,15.2,14,-0.1,▼,-6.0,-0.7,-17.0,3424.0
148,2020-06-09,14.9,15,-0.3,▼,-7.0,-2.0,1.0,3439.0
149,2020-06-10,14.9,25,0.0,-,-7.0,0.0,10.0,3464.0
150,2020-06-11,14.6,11,-0.3,▼,-8.0,-2.0,-14.0,3475.0
151,2020-06-12,14.2,25,-0.4,▼,-9.0,-2.7,14.0,3500.0
152,2020-06-13,13.9,38,-0.3,▼,-10.0,-2.1,13.0,3538.0
153,2020-06-14,13.7,21,-0.2,▼,-11.0,-1.4,-17.0,3559.0
154,2020-06-15,13.4,18,-0.3,▼,-12.0,-2.2,-3.0,3577.0
155,2020-06-16,13.2,27,-0.2,▼,-13.0,-1.5,9.0,3604.0
156,2020-06-17,13.5,28,0.3,▲,-12.0,2.3,1.0,3632.0
157,2020-06-18,14.0,24,0.5,▲,-11.0,3.7,-4.0,3656.0
158,2020-06-19,14.2,68,0.2,▲,-10.0,1.4,44.0,3724.0
159,2020-06-20,15.0,32,0.8,▲,-9.0,5.6,-36.0,3756.0
160,2020-06-21,15.5,31,0.5,▲,-8.0,3.3,-1.0,3787.0
161,2020-06-22,15.6,18,0.1,▲,-7.0,0.6,-13.0,3805.0
162,2020-06-23,16.8,20,1.2,▲,-6.0,7.7,2.0,3825.0
163,2020-06-24,16.6,13,-0.2,▼,-7.0,-1.2,-7.0,3838.0
164,2020-06-25,15.8,19,-0.8,▼,-8.0,-4.8,6.0,3857.0
165,2020-06-26,15.1,29,-0.7,▼,-9.0,-4.4,10.0,3886.0
166,2020-06-27,15.6,32,0.5,▲,-8.0,3.3,3.0,3918.0
167,2020-06-28,14.0,29,-1.6,▼,-9.0,-10.3,-3.0,3947.0
168,2020-06-29,14.2,16,0.2,▲,-8.0,1.4,-13.0,3963.0
169,2020-06-30,14.3,22,0.1,▲,-7.0,0.7,6.0,3985.0
170,2020-07-01,14.7,27,0.4,▲,-6.0,2.8,5.0,4012.0
171,2020-07-02,14.0,23,-0.7,▼,-7.0,-4.8,-4.0,4035.0
172,2020-07-03,14.0,37,0.0,-,-7.0,0.0,14.0,4072.0
173,2020-07-04,13.7,29,-0.3,▼,-8.0,-2.1,-8.0,4101.0
174,2020-07-05,13.9,49,0.2,▲,-7.0,1.5,20.0,4150.0
175,2020-07-06,14.3,26,0.4,▲,-6.0,2.9,-23.0,4176.0
176,2020-07-07,14.2,22,-0.1,▼,-7.0,-0.7,-4.0,4198.0
177,2020-07-08,15.7,32,1.5,▲,-6.0,10.6,10.0,4230.0
178,2020-07-09,16.0,16,0.3,▲,-5.0,1.9,-16.0,4246.0
179,2020-07-10,15.7,29,-0.3,▼,-6.0,-1.9,13.0,4275.0
180,2020-07-11,15.7,66,0.0,-,-6.0,0.0,37.0,4341.0
181,2020-07-12,16.7,30,1.0,▲,-5.0,6.4,-36.0,4371.0
182,2020-07-13,15.5,45,-1.2,▼,-6.0,-7.2,15.0,4416.0
183,2020-07-14,15.7,25,0.2,▲,-5.0,1.3,-20.0,4441.0
184,2020-07-15,16.2,35,0.5,▲,-4.0,3.2,10.0,4476.0
185,2020-07-16,16.3,47,0.1,▲,-3.0,0.6,12.0,4523.0
186,2020-07-17,15.9,60,-0.4,▼,-4.0,-2.5,13.0,4583.0
187,2020-07-18,16.6,38,0.7,▲,-3.0,4.4,-22.0,4621.0
188,2020-07-19,16.6,34,0.0,-,-3.0,0.0,-4.0,4655.0
189,2020-07-20,16.4,17,-0.2,▼,-4.0,-1.2,-17.0,4672.0
190,2020-07-21,18.2,27,1.8,▲,-3.0,11.0,10.0,4699.0
191,2020-07-22,17.9,17,-0.3,▼,-4.0,-1.6,-10.0,4716.0
192,2020-07-23,17.1,18,-0.8,▼,-5.0,-4.5,1.0,4734.0
193,2020-07-24,17.0,28,-0.1,▼,-6.0,-0.6,10.0,4762.0
194,2020-07-25,16.8,27,-0.2,▼,-7.0,-1.2,-1.0,4789.0
195,2020-07-26,14.5,19,-2.3,▼,-8.0,-13.7,-8.0,4808.0
196,2020-07-27,14.4,27,-0.1,▼,-9.0,-0.7,8.0,4835.0
197,2020-07-28,14.2,39,-0.2,▼,-10.0,-1.4,12.0,4874.0
198,2020-07-29,13.9,26,-0.3,▼,-11.0,-2.1,-13.0,4900.0
199,2020-07-30,13.9,28,0.0,-,-11.0,0.0,2.0,4928.0
200,2020-07-31,14.2,37,0.3,▲,-10.0,2.2,9.0,4965.0
201,2020-08-01,14.3,71,0.1,▲,-9.0,0.7,34.0,5036.0
202,2020-08-02,15.0,71,0.7,▲,-8.0,4.9,0.0,5107.0
203,2020-08-03,16.0,37,1.0,▲,-7.0,6.7,-34.0,5144.0
204,2020-08-04,16.6,33,0.6,▲,-6.0,3.8,-4.0,5177.0
205,2020-08-05,16.6,48,0.0,-,-6.0,0.0,15.0,5225.0
206,2020-08-06,16.5,21,-0.1,▼,-7.0,-0.6,-27.0,5246.0
207,2020-08-07,16.1,30,-0.4,▼,-8.0,-2.4,9.0,5276.0
208,2020-08-08,15.1,25,-1.0,▼,-9.0,-6.2,-5.0,5301.0
209,2020-08-09,14.4,39,-0.7,▼,-10.0,-4.6,14.0,5340.0
210,2020-08-10,14.2,22,-0.2,▼,-11.0,-1.4,-17.0,5362.0
211,2020-08-11,14.0,28,-0.2,▼,-12.0,-1.4,6.0,5390.0
212,2020-08-12,13.8,15,-0.2,▼,-13.0,-1.4,-13.0,5405.0
213,2020-08-13,14.0,39,0.2,▲,-12.0,1.4,24.0,5444.0
214,2020-08-14,14.3,25,0.3,▲,-11.0,2.1,-14.0,5469.0
215,2020-08-15,14.5,27,0.2,▲,-10.0,1.4,2.0,5496.0
216,2020-08-16,14.8,23,0.3,▲,-9.0,2.1,-4.0,5519.0
217,2020-08-17,15.0,23,0.2,▲,-8.0,1.4,0.0,5542.0
218,2020-08-18,14.9,15,-0.1,▼,-9.0,-0.7,-8.0,5557.0
219,2020-08-19,14.9,21,0.0,-,-9.0,0.0,6.0,5578.0
220,2020-08-20,14.9,30,0.0,-,-9.0,0.0,9.0,5608.0
221,2020-08-21,14.9,22,0.0,-,-9.0,0.0,-8.0,5630.0
222,2020-08-22,14.9,38,0.0,-,-9.0,0.0,16.0,5668.0
223,2020-08-23,14.6,26,-0.3,▼,-10.0,-2.0,-12.0,5694.0
224,2020-08-24,14.2,16,-0.4,▼,-11.0,-2.7,-10.0,5710.0
225,2020-08-25,13.8,16,-0.4,▼,-12.0,-2.8,0.0,5726.0
226,2020-08-26,13.5,11,-0.3,▼,-13.0,-2.2,-5.0,5737.0
227,2020-08-27,13.3,28,-0.2,▼,-14.0,-1.5,17.0,5765.0
228,2020-08-28,13.4,44,0.1,▲,-13.0,0.8,16.0,5809.0
229,2020-08-29,13.5,39,0.1,▲,-12.0,0.7,-5.0,5848.0
230,2020-08-30,13.9,34,0.4,▲,-11.0,3.0,-5.0,5882.0
231,2020-08-31,14.0,22,0.1,▲,-10.0,0.7,-12.0,5904.0
232,2020-09-01,14.0,25,0.0,-,-10.0,0.0,3.0,5929.0
233,2020-09-02,14.8,28,0.8,▲,-9.0,5.7,3.0,5957.0
234,2020-09-03,14.8,19,0.0,-,-9.0,0.0,-9.0,5976.0
235,2020-09-04,14.5,15,-0.3,▼,-10.0,-2.0,-4.0,5991.0
236,2020-09-05,14.7,31,0.2,▲,-9.0,1.4,16.0,6022.0
237,2020-09-06,14.6,21,-0.1,▼,-10.0,-0.7,-10.0,6043.0
238,2020-09-07,14.0,17,-0.6,▼,-11.0,-4.1,-4.0,6060.0
239,2020-09-08,14.2,22,0.2,▲,-10.0,1.4,5.0,6082.0
240,2020-09-09,14.2,21,0.0,-,-10.0,0.0,-1.0,6103.0
241,2020-09-10,13.9,17,-0.3,▼,-11.0,-2.1,-4.0,6120.0
242,2020-09-11,13.7,25,-0.2,▼,-12.0,-1.4,8.0,6145.0
243,2020-09-12,13.6,36,-0.1,▼,-13.0,-0.7,11.0,6181.0
244,2020-09-13,13.6,17,0.0,-,-13.0,0.0,-19.0,6198.0
245,2020-09-14,13.2,19,-0.4,▼,-14.0,-2.9,2.0,6217.0
246,2020-09-15,13.3,30,0.1,▲,-13.0,0.8,11.0,6247.0
247,2020-09-16,13.4,30,0.1,▲,-12.0,0.8,0.0,6277.0
248,2020-09-17,13.3,16,-0.1,▼,-13.0,-0.7,-14.0,6293.0
249,2020-09-18,12.7,19,-0.6,▼,-14.0,-4.5,3.0,6312.0
250,2020-09-19,12.9,36,0.2,▲,-13.0,1.6,17.0,6348.0
251,2020-09-20,12.2,38,-0.7,▼,-14.0,-5.4,2.0,6386.0
252,2020-09-21,12.4,29,0.2,▲,-13.0,1.6,-9.0,6415.0
253,2020-09-22,12.2,25,-0.2,▼,-14.0,-1.6,-4.0,6440.0
254,2020-09-23,12.8,20,0.6,▲,-13.0,4.9,-5.0,6460.0
255,2020-09-24,13.0,30,0.2,▲,-12.0,1.6,10.0,6490.0
256,2020-09-25,13.4,46,0.4,▲,-11.0,3.1,16.0,6536.0
257,2020-09-26,13.4,40,0.0,-,-11.0,0.0,-6.0,6576.0
258,2020-09-27,13.6,33,0.2,▲,-10.0,1.5,-7.0,6609.0
259,2020-09-28,13.3,15,-0.3,▼,-11.0,-2.2,-18.0,6624.0
260,2020-09-29,13.1,17,-0.2,▼,-12.0,-1.5,2.0,6641.0
261,2020-09-30,12.7,10,-0.4,▼,-13.0,-3.1,-7.0,6651.0
262,2020-10-01,12.8,13,0.1,▲,-12.0,0.8,3.0,6664.0
263,2020-10-02,12.4,13,-0.4,▼,-13.0,-3.1,0.0,6677.0
264,2020-10-03,12.1,39,-0.3,▼,-14.0,-2.4,26.0,6716.0
265,2020-10-04,12.1,26,0.0,-,-14.0,0.0,-13.0,6742.0
266,2020-10-05,12.3,17,0.2,▲,-13.0,1.7,-9.0,6759.0
267,2020-10-06,11.7,21,-0.6,▼,-14.0,-4.9,4.0,6780.0
268,2020-10-07,12.0,10,0.3,▲,-13.0,2.6,-11.0,6790.0
269,2020-10-08,12.3,16,0.3,▲,-12.0,2.5,6.0,6806.0
270,2020-10-09,12.7,39,0.4,▲,-11.0,3.3,23.0,6845.0
271,2020-10-10,13.3,32,0.6,▲,-10.0,4.7,-7.0,6877.0
272,2020-10-11,14.0,49,0.7,▲,-9.0,5.3,17.0,6926.0
273,2020-10-12,14.4,19,0.4,▲,-8.0,2.9,-30.0,6945.0
274,2020-10-13,15.6,21,1.2,▲,-7.0,8.3,2.0,6966.0
275,2020-10-14,15.6,13,0.0,-,-7.0,0.0,-8.0,6979.0
276,2020-10-15,15.6,10,0.0,-,-7.0,0.0,-3.0,6989.0
277,2020-10-16,15.4,11,-0.2,▼,-8.0,-1.3,1.0,7000.0
278,2020-10-17,15.1,19,-0.3,▼,-9.0,-1.9,8.0,7019.0
279,2020-10-18,14.2,13,-0.9,▼,-10.0,-6.0,-6.0,7032.0
280,2020-10-19,14.0,14,-0.2,▼,-11.0,-1.4,1.0,7046.0
281,2020-10-20,14.0,22,0.0,-,-11.0,0.0,8.0,7068.0
282,2020-10-21,13.9,12,-0.1,▼,-12.0,-0.7,-10.0,7080.0
283,2020-10-22,13.9,14,0.0,-,-12.0,0.0,2.0,7094.0
284,2020-10-23,13.9,23,0.0,-,-12.0,0.0,9.0,7117.0
285,2020-10-24,14.2,25,0.3,▲,-11.0,2.2,2.0,7142.0
286,2020-10-25,14.3,19,0.1,▲,-10.0,0.7,-6.0,7161.0
287,2020-10-26,14.6,14,0.3,▲,-9.0,2.1,-5.0,7175.0
288,2020-10-27,14.6,21,0.0,-,-9.0,0.0,7.0,7196.0
289,2020-10-28,14.7,25,0.1,▲,-8.0,0.7,4.0,7221.0
290,2020-10-29,14.2,24,-0.5,▼,-9.0,-3.4,-1.0,7245.0
291,2020-10-30,14.2,23,0.0,-,-9.0,0.0,-1.0,7268.0
292,2020-10-31,14.0,22,-0.2,▼,-10.0,-1.4,-1.0,7290.0
293,2020-11-01,14.2,29,0.2,▲,-9.0,1.4,7.0,7319.0
294,2020-11-02,13.5,24,-0.7,▼,-10.0,-4.9,-5.0,7343.0
295,2020-11-03,13.5,30,0.0,-,-10.0,0.0,6.0,7373.0
296,2020-11-04,13.0,20,-0.5,▼,-11.0,-3.7,-10.0,7393.0
297,2020-11-05,12.7,29,-0.3,▼,-12.0,-2.3,9.0,7422.0
298,2020-11-06,12.5,18,-0.2,▼,-13.0,-1.6,-11.0,7440.0
299,2020-11-07,12.9,29,0.4,▲,-12.0,3.2,11.0,7469.0
300,2020-11-08,13.1,27,0.2,▲,-11.0,1.6,-2.0,7496.0
301,2020-11-09,13.3,15,0.2,▲,-10.0,1.5,-12.0,7511.0
302,2020-11-10,13.6,25,0.3,▲,-9.0,2.3,10.0,7536.0
303,2020-11-11,13.7,16,0.1,▲,-8.0,0.7,-9.0,7552.0
304,2020-11-12,13.5,22,-0.2,▼,-9.0,-1.5,6.0,7574.0
305,2020-11-13,13.5,17,0.0,-,-9.0,0.0,-5.0,7591.0
306,2020-11-14,13.7,31,0.2,▲,-8.0,1.5,14.0,7622.0
307,2020-11-15,13.7,10,0.0,-,-8.0,0.0,-21.0,7632.0
308,2020-11-16,13.1,13,-0.6,▼,-9.0,-4.4,3.0,7645.0
309,2020-11-17,13.0,16,-0.1,▼,-10.0,-0.8,3.0,7661.0
310,2020-11-18,13.1,10,0.1,▲,-9.0,0.8,-6.0,7671.0
311,2020-11-19,12.6,27,-0.5,▼,-10.0,-3.8,17.0,7698.0
312,2020-11-20,12.3,27,-0.3,▼,-11.0,-2.4,0.0,7725.0
313,2020-11-21,12.7,16,0.4,▲,-10.0,3.3,-11.0,7741.0
314,2020-11-22,12.8,25,0.1,▲,-9.0,0.8,9.0,7766.0
315,2020-11-23,12.5,21,-0.3,▼,-10.0,-2.3,-4.0,7787.0
316,2020-11-24,12.2,13,-0.3,▼,-11.0,-2.4,-8.0,7800.0
317,2020-11-25,12.1,23,-0.1,▼,-12.0,-0.8,10.0,7823.0
318,2020-11-26,11.8,21,-0.3,▼,-13.0,-2.5,-2.0,7844.0
319,2020-11-27,12.0,16,0.2,▲,-12.0,1.7,-5.0,7860.0
320,2020-11-28,12.0,22,0.0,-,-12.0,0.0,6.0,7882.0
321,2020-11-29,12.5,22,0.5,▲,-11.0,4.2,0.0,7904.0
322,2020-11-30,12.2,14,-0.3,▼,-12.0,-2.4,-8.0,7918.0
323,2020-12-01,12.2,28,0.0,-,-12.0,0.0,14.0,7946.0
324,2020-12-02,12.0,23,-0.2,▼,-13.0,-1.6,-5.0,7969.0
325,2020-12-03,12.0,22,0.0,-,-13.0,0.0,-1.0,7991.0
326,2020-12-04,12.1,33,0.1,▲,-12.0,0.8,11.0,8024.0
327,2020-12-05,13.0,43,0.9,▲,-11.0,7.4,10.0,8067.0
328,2020-12-06,13.7,67,0.7,▲,-10.0,5.4,24.0,8134.0
329,2020-12-07,13.5,19,-0.2,▼,-11.0,-1.5,-48.0,8153.0
330,2020-12-08,13.5,20,0.0,-,-11.0,0.0,1.0,8173.0
331,2020-12-09,13.1,21,-0.4,▼,-12.0,-3.0,1.0,8194.0
332,2020-12-10,12.8,12,-0.3,▼,-13.0,-2.3,-9.0,8206.0
333,2020-12-11,12.5,8,-0.3,▼,-14.0,-2.3,-4.0,8214.0
334,2020-12-12,12.6,25,0.1,▲,-13.0,0.8,17.0,8239.0
