,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-02-11,28.7,8,0.0,-,0.0,0.0,0.0,0.0
1,2020-02-12,27.7,2,-1.0,▼,-1.0,-3.5,-6.0,2.0
2,2020-02-13,28.3,5,0.6,▲,0.0,2.2,3.0,7.0
3,2020-02-14,27.8,12,-0.5,▼,-1.0,-1.8,7.0,19.0
4,2020-02-15,28.2,8,0.4,▲,0.0,1.4,-4.0,27.0
5,2020-02-16,27.7,8,-0.5,▼,-1.0,-1.8,0.0,35.0
6,2020-02-17,28.2,14,0.5,▲,0.0,1.8,6.0,49.0
7,2020-02-18,26.8,9,-1.4,▼,-1.0,-5.0,-5.0,58.0
8,2020-02-19,29.2,5,2.4,▲,0.0,9.0,-4.0,63.0
9,2020-02-20,29.1,10,-0.1,▼,-1.0,-0.3,5.0,73.0
10,2020-02-21,30.1,9,1.0,▲,0.0,3.4,-1.0,82.0
11,2020-02-22,30.1,10,0.0,-,0.0,0.0,1.0,92.0
12,2020-02-23,30.5,12,0.4,▲,1.0,1.3,2.0,104.0
13,2020-02-24,29.6,16,-0.9,▼,0.0,-3.0,4.0,120.0
14,2020-02-25,29.4,4,-0.2,▼,-1.0,-0.7,-12.0,124.0
15,2020-02-26,29.3,7,-0.1,▼,-2.0,-0.3,3.0,131.0
16,2020-02-27,29.3,3,0.0,-,-2.0,0.0,-4.0,134.0
17,2020-02-28,29.1,11,-0.2,▼,-3.0,-0.7,8.0,145.0
18,2020-02-29,29.1,7,0.0,-,-3.0,0.0,-4.0,152.0
19,2020-03-01,28.7,13,-0.4,▼,-4.0,-1.4,6.0,165.0
20,2020-03-02,28.2,7,-0.5,▼,-5.0,-1.7,-6.0,172.0
21,2020-03-03,28.3,8,0.1,▲,-4.0,0.4,1.0,180.0
22,2020-03-04,30.0,10,1.7,▲,-3.0,6.0,2.0,190.0
23,2020-03-05,29.8,9,-0.2,▼,-4.0,-0.7,-1.0,199.0
24,2020-03-06,30.8,8,1.0,▲,-3.0,3.4,-1.0,207.0
25,2020-03-07,31.0,17,0.2,▲,-2.0,0.6,9.0,224.0
26,2020-03-08,31.0,30,0.0,-,-2.0,0.0,13.0,254.0
27,2020-03-09,30.5,9,-0.5,▼,-3.0,-1.6,-21.0,263.0
28,2020-03-10,31.2,4,0.7,▲,-2.0,2.3,-5.0,267.0
29,2020-03-11,30.6,7,-0.6,▼,-3.0,-1.9,3.0,274.0
30,2020-03-12,31.5,8,0.9,▲,-2.0,2.9,1.0,282.0
31,2020-03-13,31.9,9,0.4,▲,-1.0,1.3,1.0,291.0
32,2020-03-14,31.3,16,-0.6,▼,-2.0,-1.9,7.0,307.0
33,2020-03-15,30.6,5,-0.7,▼,-3.0,-2.2,-11.0,312.0
34,2020-03-16,32.1,8,1.5,▲,-2.0,4.9,3.0,320.0
35,2020-03-17,32.1,13,0.0,-,-2.0,0.0,5.0,333.0
36,2020-03-18,31.6,8,-0.5,▼,-3.0,-1.6,-5.0,341.0
37,2020-03-19,32.7,11,1.1,▲,-2.0,3.5,3.0,352.0
38,2020-03-20,33.0,16,0.3,▲,-1.0,0.9,5.0,368.0
39,2020-03-21,32.1,12,-0.9,▼,-2.0,-2.7,-4.0,380.0
40,2020-03-22,31.0,7,-1.1,▼,-3.0,-3.4,-5.0,387.0
41,2020-03-23,31.1,11,0.1,▲,-2.0,0.3,4.0,398.0
42,2020-03-24,29.9,6,-1.2,▼,-3.0,-3.9,-5.0,404.0
43,2020-03-25,29.6,4,-0.3,▼,-4.0,-1.0,-2.0,408.0
44,2020-03-26,29.2,7,-0.4,▼,-5.0,-1.4,3.0,415.0
45,2020-03-27,28.6,16,-0.6,▼,-6.0,-2.1,9.0,431.0
46,2020-03-28,28.6,23,0.0,-,-6.0,0.0,7.0,454.0
47,2020-03-29,29.3,22,0.7,▲,-5.0,2.4,-1.0,476.0
48,2020-03-30,29.3,12,0.0,-,-5.0,0.0,-10.0,488.0
49,2020-03-31,29.1,9,-0.2,▼,-6.0,-0.7,-3.0,497.0
50,2020-04-01,30.1,11,1.0,▲,-5.0,3.4,2.0,508.0
51,2020-04-02,30.1,13,0.0,-,-5.0,0.0,2.0,521.0
52,2020-04-03,30.4,14,0.3,▲,-4.0,1.0,1.0,535.0
53,2020-04-04,30.6,16,0.2,▲,-3.0,0.7,2.0,551.0
54,2020-04-05,31.9,9,1.3,▲,-2.0,4.2,-7.0,560.0
55,2020-04-06,33.1,14,1.2,▲,-1.0,3.8,5.0,574.0
56,2020-04-07,32.6,6,-0.5,▼,-2.0,-1.5,-8.0,580.0
57,2020-04-08,32.3,10,-0.3,▼,-3.0,-0.9,4.0,590.0
58,2020-04-09,33.3,13,1.0,▲,-2.0,3.1,3.0,603.0
59,2020-04-10,33.5,12,0.2,▲,-1.0,0.6,-1.0,615.0
60,2020-04-11,31.9,16,-1.6,▼,-2.0,-4.8,4.0,631.0
61,2020-04-12,32.4,10,0.5,▲,-1.0,1.6,-6.0,641.0
62,2020-04-13,32.8,10,0.4,▲,0.0,1.2,0.0,651.0
63,2020-04-14,32.7,10,-0.1,▼,-1.0,-0.3,0.0,661.0
