,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-02-11,32.0,8,0.0,-,0.0,0.0,0.0,0.0
1,2020-02-12,31.6,6,-0.4,▼,-1.0,-1.2,-2.0,6.0
2,2020-02-13,31.5,5,-0.1,▼,-2.0,-0.3,-1.0,11.0
3,2020-02-14,33.0,7,1.5,▲,-1.0,4.8,2.0,18.0
4,2020-02-15,32.5,11,-0.5,▼,-2.0,-1.5,4.0,29.0
5,2020-02-16,31.7,12,-0.8,▼,-3.0,-2.5,1.0,41.0
6,2020-02-17,31.8,5,0.1,▲,-2.0,0.3,-7.0,46.0
7,2020-02-18,32.6,5,0.8,▲,-1.0,2.5,0.0,51.0
8,2020-02-19,30.7,2,-1.9,▼,-2.0,-5.8,-3.0,53.0
9,2020-02-20,30.7,11,0.0,-,-2.0,0.0,9.0,64.0
10,2020-02-21,31.2,10,0.5,▲,-1.0,1.6,-1.0,74.0
11,2020-02-22,32.1,14,0.9,▲,0.0,2.9,4.0,88.0
12,2020-02-23,31.1,5,-1.0,▼,-1.0,-3.1,-9.0,93.0
13,2020-02-24,31.6,8,0.5,▲,0.0,1.6,3.0,101.0
14,2020-02-25,32.5,9,0.9,▲,1.0,2.8,1.0,110.0
15,2020-02-26,32.8,3,0.3,▲,2.0,0.9,-6.0,113.0
16,2020-02-27,30.9,6,-1.9,▼,1.0,-5.8,3.0,119.0
17,2020-02-28,31.6,4,0.7,▲,2.0,2.3,-2.0,123.0
18,2020-02-29,31.8,10,0.2,▲,3.0,0.6,6.0,133.0
19,2020-03-01,31.1,8,-0.7,▼,2.0,-2.2,-2.0,141.0
20,2020-03-02,31.2,5,0.1,▲,3.0,0.3,-3.0,146.0
21,2020-03-03,32.9,9,1.7,▲,4.0,5.4,4.0,155.0
22,2020-03-04,34.2,8,1.3,▲,5.0,4.0,-1.0,163.0
23,2020-03-05,33.5,9,-0.7,▼,4.0,-2.0,1.0,172.0
24,2020-03-06,34.7,10,1.2,▲,5.0,3.6,1.0,182.0
25,2020-03-07,33.8,17,-0.9,▼,4.0,-2.6,7.0,199.0
26,2020-03-08,34.7,20,0.9,▲,5.0,2.7,3.0,219.0
27,2020-03-09,33.1,9,-1.6,▼,4.0,-4.6,-11.0,228.0
28,2020-03-10,33.6,16,0.5,▲,5.0,1.5,7.0,244.0
29,2020-03-11,33.1,10,-0.5,▼,4.0,-1.5,-6.0,254.0
30,2020-03-12,35.4,11,2.3,▲,5.0,6.9,1.0,265.0
31,2020-03-13,35.5,11,0.1,▲,6.0,0.3,0.0,276.0
32,2020-03-14,36.0,6,0.5,▲,7.0,1.4,-5.0,282.0
33,2020-03-15,35.6,14,-0.4,▼,6.0,-1.1,8.0,296.0
34,2020-03-16,35.1,12,-0.5,▼,5.0,-1.4,-2.0,308.0
