,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2021-02-24,,247,0.0,-,0.0,0.0,0.0,0.0
1,2021-02-25,,286,,▲,1.0,,39.0,286.0
2,2021-02-26,,175,,▲,2.0,,-111.0,461.0
3,2021-02-27,,178,,▲,3.0,,3.0,639.0
4,2021-02-28,135.2,191,,▲,4.0,,13.0,830.0
5,2021-03-01,124.9,72,-10.3,▼,3.0,-7.6,-119.0,902.0
6,2021-03-02,121.0,136,-3.9,▼,2.0,-3.1,64.0,1038.0
7,2021-03-03,116.0,102,-5.0,▼,1.0,-4.1,-34.0,1140.0
8,2021-03-04,110.9,107,-5.1,▼,0.0,-4.4,5.0,1247.0
9,2021-03-05,108.2,73,-2.7,▼,-1.0,-2.4,-34.0,1320.0
10,2021-03-06,104.5,103,-3.7,▼,-2.0,-3.4,30.0,1423.0
11,2021-03-07,102.2,99,-2.3,▼,-3.0,-2.2,-4.0,1522.0
12,2021-03-08,101.2,83,-1.0,▼,-4.0,-1.0,-16.0,1605.0
13,2021-03-09,99.4,77,-1.8,▼,-5.0,-1.8,-6.0,1682.0
14,2021-03-10,95.6,91,-3.8,▼,-6.0,-3.8,14.0,1773.0
15,2021-03-11,93.6,83,-2.0,▼,-7.0,-2.1,-8.0,1856.0
16,2021-03-12,91.9,114,-1.7,▼,-8.0,-1.8,31.0,1970.0
17,2021-03-13,91.0,113,-0.9,▼,-9.0,-1.0,-1.0,2083.0
18,2021-03-14,89.5,103,-1.5,▼,-10.0,-1.6,-10.0,2186.0
19,2021-03-15,89.9,70,0.4,▲,-9.0,0.4,-33.0,2256.0
20,2021-03-16,88.2,74,-1.7,▼,-10.0,-1.9,4.0,2330.0
21,2021-03-17,85.7,59,-2.5,▼,-11.0,-2.8,-15.0,2389.0
22,2021-03-18,83.5,68,-2.2,▼,-12.0,-2.6,9.0,2457.0
23,2021-03-19,80.7,75,-2.8,▼,-13.0,-3.4,7.0,2532.0
24,2021-03-20,79.3,115,-1.4,▼,-14.0,-1.7,40.0,2647.0
25,2021-03-21,80.4,82,1.1,▲,-13.0,1.4,-33.0,2729.0
26,2021-03-22,82.0,102,1.6,▲,-12.0,2.0,20.0,2831.0
27,2021-03-23,82.4,77,0.4,▲,-11.0,0.5,-25.0,2908.0
28,2021-03-24,82.7,69,0.3,▲,-10.0,0.4,-8.0,2977.0
29,2021-03-25,81.2,86,-1.5,▼,-11.0,-1.8,17.0,3063.0
30,2021-03-26,77.8,59,-3.4,▼,-12.0,-4.2,-27.0,3122.0
31,2021-03-27,75.1,104,-2.7,▼,-13.0,-3.5,45.0,3226.0
32,2021-03-28,74.0,70,-1.1,▼,-14.0,-1.5,-34.0,3296.0
33,2021-03-29,72.5,62,-1.5,▼,-15.0,-2.0,-8.0,3358.0
34,2021-03-30,71.5,57,-1.0,▼,-16.0,-1.4,-5.0,3415.0
35,2021-03-31,71.0,63,-0.5,▼,-17.0,-0.7,6.0,3478.0
36,2021-04-01,70.5,66,-0.5,▼,-18.0,-0.7,3.0,3544.0
37,2021-04-02,68.8,54,-1.7,▼,-19.0,-2.4,-12.0,3598.0
38,2021-04-03,68.8,55,0.0,-,-19.0,0.0,1.0,3653.0
39,2021-04-04,68.0,66,-0.8,▼,-20.0,-1.2,11.0,3719.0
40,2021-04-05,67.5,66,-0.5,▼,-21.0,-0.7,0.0,3785.0
41,2021-04-06,66.1,48,-1.4,▼,-22.0,-2.1,-18.0,3833.0
42,2021-04-07,64.7,54,-1.4,▼,-23.0,-2.1,6.0,3887.0
43,2021-04-08,62.2,53,-2.5,▼,-24.0,-3.9,-1.0,3940.0
44,2021-04-09,60.8,36,-1.4,▼,-25.0,-2.3,-17.0,3976.0
