,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-01-13,42.1,12,0.0,-,0.0,0.0
1,2020-01-14,41.4,6,-0.7,▼,-1.0,-1.7
2,2020-01-15,42.3,11,0.9,▲,0.0,2.2
3,2020-01-16,41.4,23,-0.9,▼,-1.0,-2.1
4,2020-01-17,41.4,10,0.0,-,-1.0,0.0
5,2020-01-18,40.7,30,-0.7,▼,-2.0,-1.7
6,2020-01-19,41.4,21,0.7,▲,-1.0,1.7
7,2020-01-20,40.9,20,-0.5,▼,-2.0,-1.2
8,2020-01-21,40.7,14,-0.2,▼,-3.0,-0.5
9,2020-01-22,46.2,18,5.5,▲,-2.0,13.5
10,2020-01-23,47.1,17,0.9,▲,-1.0,1.9
11,2020-01-24,46.4,11,-0.7,▼,-2.0,-1.5
12,2020-01-25,46.9,17,0.5,▲,-1.0,1.1
13,2020-01-26,47.1,22,0.2,▲,0.0,0.4
14,2020-01-27,43.2,15,-3.9,▼,-1.0,-8.3
15,2020-01-28,42.8,11,-0.4,▼,-2.0,-0.9
16,2020-01-29,44.0,13,1.2,▲,-1.0,2.8
17,2020-01-30,43.3,14,-0.7,▼,-2.0,-1.6
18,2020-01-31,44.4,13,1.1,▲,-1.0,2.5
19,2020-02-01,43.4,34,-1.0,▼,-2.0,-2.3
20,2020-02-02,42.6,9,-0.8,▼,-3.0,-1.8
21,2020-02-03,41.1,9,-1.5,▼,-4.0,-3.5
22,2020-02-04,40.6,8,-0.5,▼,-5.0,-1.2
23,2020-02-05,39.6,23,-1.0,▼,-6.0,-2.5
24,2020-02-06,39.6,24,0.0,-,-6.0,0.0
25,2020-02-07,39.9,34,0.3,▲,-5.0,0.8
26,2020-02-08,40.4,32,0.5,▲,-4.0,1.3
27,2020-02-09,41.1,33,0.7,▲,-3.0,1.7
28,2020-02-10,41.4,18,0.3,▲,-2.0,0.7
29,2020-02-11,41.7,19,0.3,▲,-1.0,0.7
30,2020-02-12,42.6,19,0.9,▲,0.0,2.2
31,2020-02-13,42.9,7,0.3,▲,1.0,0.7
32,2020-02-14,50.9,114,8.0,▲,2.0,18.6
33,2020-02-15,60.0,128,9.1,▲,3.0,17.9
34,2020-02-16,68.9,59,8.9,▲,4.0,14.8
35,2020-02-17,77.0,29,8.1,▲,5.0,11.8
36,2020-02-18,85.4,24,8.4,▲,6.0,10.9
37,2020-02-19,84.7,18,-0.7,▼,5.0,-0.8
38,2020-02-20,83.2,22,-1.5,▼,4.0,-1.8
39,2020-02-21,81.4,21,-1.8,▼,3.0,-2.2
40,2020-02-22,79.9,28,-1.5,▼,2.0,-1.8
41,2020-02-23,78.2,25,-1.7,▼,1.0,-2.1
42,2020-02-24,76.9,15,-1.3,▼,0.0,-1.7
43,2020-02-25,76.8,6,-0.1,▼,-1.0,-0.1
44,2020-02-26,76.4,10,-0.4,▼,-2.0,-0.5
45,2020-02-27,76.4,12,0.0,-,-2.0,0.0
46,2020-02-28,75.9,24,-0.5,▼,-3.0,-0.7
47,2020-02-29,76.3,11,0.4,▲,-2.0,0.5
48,2020-03-01,73.5,21,-2.8,▼,-3.0,-3.7
49,2020-03-02,73.5,14,0.0,-,-3.0,0.0
50,2020-03-03,73.0,12,-0.5,▼,-4.0,-0.7
51,2020-03-04,73.9,20,0.9,▲,-3.0,1.2
52,2020-03-05,74.8,8,0.9,▲,-2.0,1.2
53,2020-03-06,76.4,15,1.6,▲,-1.0,2.1
54,2020-03-07,74.9,30,-1.5,▼,-2.0,-2.0
55,2020-03-08,74.4,21,-0.5,▼,-3.0,-0.7
56,2020-03-09,73.5,19,-0.9,▼,-4.0,-1.2
57,2020-03-10,72.7,22,-0.8,▼,-5.0,-1.1
58,2020-03-11,72.9,12,0.2,▲,-4.0,0.3
59,2020-03-12,74.3,17,1.4,▲,-3.0,1.9
60,2020-03-13,75.3,19,1.0,▲,-2.0,1.3
61,2020-03-14,75.3,24,0.0,-,-2.0,0.0
62,2020-03-15,74.8,14,-0.5,▼,-3.0,-0.7
63,2020-03-16,74.4,16,-0.4,▼,-4.0,-0.5
64,2020-03-17,73.5,13,-0.9,▼,-5.0,-1.2
65,2020-03-18,72.0,16,-1.5,▼,-6.0,-2.0
66,2020-03-19,71.5,16,-0.5,▼,-7.0,-0.7
67,2020-03-20,70.7,15,-0.8,▼,-8.0,-1.1
68,2020-03-21,69.8,15,-0.9,▼,-9.0,-1.3
69,2020-03-22,68.3,13,-1.5,▼,-10.0,-2.1
70,2020-03-23,68.3,22,0.0,-,-10.0,0.0
71,2020-03-24,68.6,14,0.3,▲,-9.0,0.4
72,2020-03-25,68.7,19,0.1,▲,-8.0,0.1
73,2020-03-26,69.7,18,1.0,▲,-7.0,1.5
74,2020-03-27,71.2,17,1.5,▲,-6.0,2.2
75,2020-03-28,71.6,25,0.4,▲,-5.0,0.6
76,2020-03-29,72.3,20,0.7,▲,-4.0,1.0
77,2020-03-30,73.5,17,1.2,▲,-3.0,1.7
78,2020-03-31,73.8,14,0.3,▲,-2.0,0.4
79,2020-04-01,74.5,25,0.7,▲,-1.0,0.9
80,2020-04-02,74.6,13,0.1,▲,0.0,0.1
81,2020-04-03,74.1,18,-0.5,▼,-1.0,-0.7
82,2020-04-04,74.0,14,-0.1,▼,-2.0,-0.1
83,2020-04-05,73.6,19,-0.4,▼,-3.0,-0.5
84,2020-04-06,72.4,18,-1.2,▼,-4.0,-1.6
85,2020-04-07,71.9,29,-0.5,▼,-5.0,-0.7
86,2020-04-08,72.4,21,0.5,▲,-4.0,0.7
87,2020-04-09,72.5,20,0.1,▲,-3.0,0.1
88,2020-04-10,72.5,24,0.0,-,-3.0,0.0
89,2020-04-11,73.5,16,1.0,▲,-2.0,1.4
90,2020-04-12,73.5,20,0.0,-,-2.0,0.0
91,2020-04-13,71.0,12,-2.5,▼,-3.0,-3.4
92,2020-04-14,70.8,19,-0.2,▼,-4.0,-0.3
93,2020-04-15,70.3,15,-0.5,▼,-5.0,-0.7
94,2020-04-16,69.8,27,-0.5,▼,-6.0,-0.7
95,2020-04-17,70.0,23,0.2,▲,-5.0,0.3
96,2020-04-18,72.0,14,2.0,▲,-4.0,2.9
97,2020-04-19,72.2,25,0.2,▲,-3.0,0.3
98,2020-04-20,73.2,17,1.0,▲,-2.0,1.4
99,2020-04-21,73.2,15,0.0,-,-2.0,0.0
100,2020-04-22,74.2,19,1.0,▲,-1.0,1.4
101,2020-04-23,75.2,15,1.0,▲,0.0,1.3
102,2020-04-24,75.7,15,0.5,▲,1.0,0.7
103,2020-04-25,76.4,19,0.7,▲,2.0,0.9
104,2020-04-26,77.8,20,1.4,▲,3.0,1.8
105,2020-04-27,79.0,17,1.2,▲,4.0,1.5
106,2020-04-28,79.0,10,0.0,-,4.0,0.0
107,2020-04-29,78.8,16,-0.2,▼,3.0,-0.3
108,2020-04-30,79.4,16,0.6,▲,4.0,0.8
109,2020-05-01,79.0,18,-0.4,▼,3.0,-0.5
110,2020-05-02,78.1,13,-0.9,▼,2.0,-1.1
111,2020-05-03,78.6,20,0.5,▲,3.0,0.6
112,2020-05-04,79.1,7,0.5,▲,4.0,0.6
113,2020-05-05,78.8,16,-0.3,▼,3.0,-0.4
114,2020-05-06,79.4,14,0.6,▲,4.0,0.8
115,2020-05-07,79.4,13,0.0,-,4.0,0.0
116,2020-05-08,79.6,19,0.2,▲,5.0,0.3
117,2020-05-09,79.8,12,0.2,▲,6.0,0.3
118,2020-05-10,79.6,14,-0.2,▼,5.0,-0.3
119,2020-05-11,79.5,16,-0.1,▼,4.0,-0.1
120,2020-05-12,79.8,10,0.3,▲,5.0,0.4
121,2020-05-13,79.8,16,0.0,-,5.0,0.0
122,2020-05-14,79.3,12,-0.5,▼,4.0,-0.6
123,2020-05-15,79.3,18,0.0,-,4.0,0.0
124,2020-05-16,79.8,28,0.5,▲,5.0,0.6
125,2020-05-17,80.3,23,0.5,▲,6.0,0.6
126,2020-05-18,81.1,18,0.8,▲,7.0,1.0
127,2020-05-19,82.1,19,1.0,▲,8.0,1.2
128,2020-05-20,83.3,13,1.2,▲,9.0,1.5
129,2020-05-21,83.7,13,0.4,▲,10.0,0.5
130,2020-05-22,83.9,11,0.2,▲,11.0,0.2
131,2020-05-23,83.4,16,-0.5,▼,10.0,-0.6
132,2020-05-24,83.3,18,-0.1,▼,9.0,-0.1
133,2020-05-25,82.3,16,-1.0,▼,8.0,-1.2
134,2020-05-26,81.9,19,-0.4,▼,7.0,-0.5
135,2020-05-27,82.9,9,1.0,▲,8.0,1.2
136,2020-05-28,82.9,18,0.0,-,8.0,0.0
137,2020-05-29,82.6,12,-0.3,▼,7.0,-0.4
138,2020-05-30,84.1,13,1.5,▲,8.0,1.8
139,2020-05-31,84.6,29,0.5,▲,9.0,0.6
140,2020-06-01,84.1,13,-0.5,▼,8.0,-0.6
141,2020-06-02,85.1,13,1.0,▲,9.0,1.2
142,2020-06-03,84.9,8,-0.2,▼,8.0,-0.2
143,2020-06-04,85.4,14,0.5,▲,9.0,0.6
144,2020-06-05,86.3,24,0.9,▲,10.0,1.1
145,2020-06-06,87.3,21,1.0,▲,11.0,1.2
146,2020-06-07,87.8,19,0.5,▲,12.0,0.6
147,2020-06-08,88.9,12,1.1,▲,13.0,1.3
148,2020-06-09,89.8,27,0.9,▲,14.0,1.0
149,2020-06-10,89.7,22,-0.1,▼,13.0,-0.1
150,2020-06-11,89.6,9,-0.1,▼,12.0,-0.1
