,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-02-11,60.5,3,0.0,-,0.0,0.0,0.0,0.0
1,2020-02-12,59.5,1,-1.0,▼,-1.0,-1.7,-2.0,1.0
2,2020-02-13,56.0,2,-3.5,▼,-2.0,-5.9,1.0,3.0
3,2020-02-14,58.3,4,2.3,▲,-1.0,4.1,2.0,7.0
4,2020-02-15,57.3,6,-1.0,▼,-2.0,-1.7,2.0,13.0
5,2020-02-16,63.3,3,6.0,▲,-1.0,10.5,-3.0,16.0
6,2020-02-17,65.7,2,2.4,▲,0.0,3.8,-1.0,18.0
7,2020-02-18,69.1,2,3.4,▲,1.0,5.2,0.0,20.0
8,2020-02-19,72.3,1,3.2,▲,2.0,4.6,-1.0,21.0
9,2020-02-20,73.8,2,1.5,▲,3.0,2.1,1.0,23.0
10,2020-02-22,72.8,2,-1.0,▼,2.0,-1.4,0.0,25.0
11,2020-02-23,72.4,1,-0.4,▼,1.0,-0.5,-1.0,26.0
12,2020-02-24,68.0,3,-4.4,▼,0.0,-6.1,2.0,29.0
13,2020-02-25,65.0,3,-3.0,▼,-1.0,-4.4,0.0,32.0
14,2020-02-26,69.8,1,4.8,▲,0.0,7.4,-2.0,33.0
15,2020-02-27,70.6,3,0.8,▲,1.0,1.1,2.0,36.0
16,2020-02-28,72.6,2,2.0,▲,2.0,2.8,-1.0,38.0
17,2020-02-29,74.1,1,1.5,▲,3.0,2.1,-1.0,39.0
18,2020-03-01,76.0,4,1.9,▲,4.0,2.6,3.0,43.0
19,2020-03-02,72.8,1,-3.2,▼,3.0,-4.2,-3.0,44.0
20,2020-03-03,69.5,1,-3.3,▼,2.0,-4.5,0.0,45.0
21,2020-03-04,66.4,4,-3.1,▼,1.0,-4.5,3.0,49.0
22,2020-03-05,68.3,4,1.9,▲,2.0,2.9,0.0,53.0
23,2020-03-06,69.4,1,1.1,▲,3.0,1.6,-3.0,54.0
24,2020-03-07,67.6,4,-1.8,▼,2.0,-2.6,3.0,58.0
25,2020-03-08,68.6,4,1.0,▲,3.0,1.5,0.0,62.0
26,2020-03-09,68.7,4,0.1,▲,4.0,0.1,0.0,66.0
27,2020-03-10,67.8,4,-0.9,▼,3.0,-1.3,0.0,70.0
28,2020-03-11,68.4,9,0.6,▲,4.0,0.9,5.0,79.0
29,2020-03-12,68.6,5,0.2,▲,5.0,0.3,-4.0,84.0
30,2020-03-13,71.5,5,2.9,▲,6.0,4.2,0.0,89.0
31,2020-03-14,70.8,2,-0.7,▼,5.0,-1.0,-3.0,91.0
32,2020-03-15,69.8,1,-1.0,▼,4.0,-1.4,-1.0,92.0
33,2020-03-16,70.8,1,1.0,▲,5.0,1.4,0.0,93.0
34,2020-03-17,74.3,4,3.5,▲,6.0,4.9,3.0,97.0
35,2020-03-18,75.2,3,0.9,▲,7.0,1.2,-1.0,100.0
36,2020-03-19,79.5,3,4.3,▲,8.0,5.7,0.0,103.0
37,2020-03-20,80.9,2,1.4,▲,9.0,1.8,-1.0,105.0
38,2020-03-21,82.7,2,1.8,▲,10.0,2.2,0.0,107.0
39,2020-03-22,83.1,3,0.4,▲,11.0,0.5,1.0,110.0
40,2020-03-23,83.9,6,0.8,▲,12.0,1.0,3.0,116.0
41,2020-03-24,85.2,4,1.3,▲,13.0,1.5,-2.0,120.0
42,2020-03-26,87.5,2,2.3,▲,14.0,2.7,-2.0,122.0
43,2020-03-27,84.1,4,-3.4,▼,13.0,-3.9,2.0,126.0
44,2020-03-28,82.7,5,-1.4,▼,12.0,-1.7,1.0,131.0
45,2020-03-29,81.8,4,-0.9,▼,11.0,-1.1,-1.0,135.0
