,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,vol_before,vol_lank
0,2020-09-21,10.8,60,0.0,-,0.0,0.0,0.0,0.0
1,2020-09-22,10.3,58,-0.5,▼,-1.0,-4.6,-2.0,58.0
2,2020-09-23,10.1,41,-0.2,▼,-2.0,-1.9,-17.0,99.0
3,2020-09-24,10.1,58,0.0,-,-2.0,0.0,17.0,157.0
4,2020-09-25,9.6,66,-0.5,▼,-3.0,-5.0,8.0,223.0
5,2020-09-26,9.8,75,0.2,▲,-2.0,2.1,9.0,298.0
6,2020-09-27,9.8,77,0.0,-,-2.0,0.0,2.0,375.0
7,2020-09-28,10.0,31,0.2,▲,-1.0,2.0,-46.0,406.0
8,2020-09-29,9.9,50,-0.1,▼,-2.0,-1.0,19.0,456.0
9,2020-09-30,10.1,45,0.2,▲,-1.0,2.0,-5.0,501.0
10,2020-10-01,9.5,50,-0.6,▼,-2.0,-5.9,5.0,551.0
11,2020-10-02,9.5,45,0.0,-,-2.0,0.0,-5.0,596.0
12,2020-10-03,9.5,57,0.0,-,-2.0,0.0,12.0,653.0
13,2020-10-04,9.8,50,0.3,▲,-1.0,3.2,-7.0,703.0
14,2020-10-05,10.0,36,0.2,▲,0.0,2.0,-14.0,739.0
15,2020-10-06,10.0,49,0.0,-,0.0,0.0,13.0,788.0
16,2020-10-07,10.0,48,0.0,-,0.0,0.0,-1.0,836.0
17,2020-10-08,10.0,36,0.0,-,0.0,0.0,-12.0,872.0
18,2020-10-09,9.7,38,-0.3,▼,-1.0,-3.0,2.0,910.0
19,2020-10-10,9.7,37,0.0,-,-1.0,0.0,-1.0,947.0
20,2020-10-11,9.6,48,-0.1,▼,-2.0,-1.0,11.0,995.0
21,2020-10-12,9.6,31,0.0,-,-2.0,0.0,-17.0,1026.0
22,2020-10-13,9.6,37,0.0,-,-2.0,0.0,6.0,1063.0
23,2020-10-14,9.9,40,0.3,▲,-1.0,3.1,3.0,1103.0
24,2020-10-15,9.8,48,-0.1,▼,-2.0,-1.0,8.0,1151.0
25,2020-10-16,9.6,33,-0.2,▼,-3.0,-2.0,-15.0,1184.0
26,2020-10-17,9.6,48,0.0,-,-3.0,0.0,15.0,1232.0
27,2020-10-18,9.8,55,0.2,▲,-2.0,2.1,7.0,1287.0
28,2020-10-19,9.6,38,-0.2,▼,-3.0,-2.0,-17.0,1325.0
29,2020-10-20,10.3,38,0.7,▲,-2.0,7.3,0.0,1363.0
30,2020-10-21,10.9,37,0.6,▲,-1.0,5.8,-1.0,1400.0
31,2020-10-22,11.1,32,0.2,▲,0.0,1.8,-5.0,1432.0
32,2020-10-23,10.4,27,-0.7,▼,-1.0,-6.3,-5.0,1459.0
33,2020-10-24,10.3,32,-0.1,▼,-2.0,-1.0,5.0,1491.0
